Location Name,Latitude,Longitude,Page,Section,Context Esp,Context Eng,,Categoria
el bosque,41.505032,2.109593,105-106,4,"al lado de campus, hay un camino desde Ciudad Badia hasta el aparcamiento de la facultad de Letras de la Universidad. Un hombre y su perro descubren el cuerpo de Laura","Next to campus, there is a dirt path from Ciudad Badia to the parking lot of the Facultad de Letras on the university campus.  A man and his dog finds Laura's body here",Cuerpo,Cuerpo
"la Vila Universitaria, UAB",41.500044,2.096812,150,6,Domenica Arrigo fue asesinada en su apartamento,Domenica A was killed in her apartment,Cuerpo,Cuerpo
la facultad de Filosof¡a y Letras,41.503254,2.107509,198-199,8,"Rosario Hurtado trata de encontrar a Bellpuig en su oficina, pero ‚l est  muerto","Rosario H attemps to find Bellpuig in his office, but he is found dead there",Cuerpo,Cuerpo
la facultad de Filosof¡a y Letras,41.503074,2.107820769,222-224,9,una brigada de limpieza descubre el cuerpo de Bru en el ba¤o,a cleaning crew finds Marcel's body in the bathroom,Cuerpo,Cuerpo
la Illa Diagonal,41.389654,2.135108,213-214,9,un centro comercial en que hay la tienda que provee de los animales pl sticos al asesino,"A mall that has a store that sells plastic animals (and other collectibles), may be the source of the animals used by the killer",narrator,Sospechoso
N-156 y A-7,41.895466,2.774985,245,9,los mozos de escuadra detectan la furgoneta de Iliescu,The Mozos find Iliescu's van,Iliescu,Sospechoso
Complejo Egara,41.554359,2.067889,261-263,10,Jaume Pocov¡ est  enterrogado aqu¡,Pocovi is interrogated here,Pocov¡,Sospechoso
Complejo Egara,41.553819,2.068200769,268-269,10,Pocov¡ confiesa,Pocovi confesses,Pocov¡,Sospechoso
"la Vila Universitaria, UAB",41.49993856,2.097066559,270,10,Pocov¡ tambi‚n vive aqu¡,Pocovi lives here as well,Pocov¡,Sospechoso
la casa de Ana y Pocov¡,41.500931,2.090439,270,10,"junto a la estaci¢n de Bellaterra, Ana le echara a Pocov¡",Where Ana kicks Pocovi out of,Pocov¡,Sospechoso
"la Vila Universitaria, UAB",41.499684,2.097172,271,10,Pocov¡ droga a Laura y la mata,Pocovi drugs Laura and kills her,Pocov¡,Sospechoso
el bosque,41.504672,2.109953,271,10,el loco asalta a Pocov¡ cuando busca un lugar para dejar el cuerpo de Laura,The crazy guy attacks Pocovi when he looks for a place to leave Laura's body,Pocov¡,Sospechoso
la Mutua de Sabadell,41.550011,2.105143,271,10,Pocov¡ recibe puntos de sutura,Pocovi gets stitches here,Pocov¡,Sospechoso
la comisar¡a de Cerda¤ola,41.486248,2.123817,42,2,Rosa Casasaies y Domenica Arrigo denuncian la desaparici¢n de Laura Cremona,Rosa C and Domenica A report the disappearance of Laura C,Mozos,Investigador
los estudios de TV3,41.374588,2.070663,55,2,nadie se va a pie de los estudios de televisi¢n,"According to Manuela Vazquez, noone walks to/from the TV3 television studios",Mozos,Investigador
la comisar¡a de Cerda¤ola,41.48599925,2.124159381,58,3,Manuela V zquez aparenta una enfermedad para no hablar con la prensa,Manuela V fakes an illness in order to not have to talk to the press,Mozos,Investigador
